,id,name,alias1,alias2,alias3,gek,predicates,studbookId,father,fatherId,mother,motherId,fatherOfMother,fatherOfMotherId,year,studbook,reg,fei,redId,sex,chipnumber,isDeceased
138,2457123,BALLKÖNIGIN,,,,,,8.0,SCHWARZGOLD,716527.0,BENASIR,1496736.0,CONNERY,132185.0,2019,Trakehner,276409090304019,,1616197.0,2,,False
139,2457069,TANGELA BUTTERFLY Z,,,,,,5.0,TANGELO VAN DE ZUUTHOEVE,2723.0,CALANDA BUTTERFLY Z,2122923.0,CROWN Z,13147.0,2019,Zangersheide,056015Z55519519,,1616109.0,2,,False
140,2457062,VINO VERDE H,,,,,,14.0,VITALIS,231342.0,FAHIDA H,2457090.0,FRIEDENSTRAUM,114718.0,2019,Rheinland,276431434032819,,1616083.0,1,,False
141,2457038,TOP STELLA,TOPINA,,,,,501.0,TOP CORNETTO,2457040.0,SHAGGA,2457044.0,BASCO,2457045.0,2019,Pony,,,1616060.0,2,,False
142,2457009,AMY,,,,,,13.0,CATCH,1584020.0,ANOTHER JOKER,2457006.0,ARMITAGE,38653.0,2019,Westfälisches Pferdestammbuch e.V.,276441411292919,,1616041.0,2,,False
143,2456998,THORGAN VAN HET LANDAUKE,,,,,,4.0,LEANDRO VG,1557014.0,OILILY VAN DE KWADE HEYDE,1635372.0,JILBERT VAN 'T RUYTERSHOF,474049.0,2019,BWP (Belgium Warmblood),056002W00323456,,1616035.0,1,,False
144,2456989,TUINMAN VAN DE LENTAMEL,,,,,,4.0,KASANOVA DE LA POMME,1543784.0,VITA,1479560.0,LIMBO,53475.0,2019,BWP (Belgium Warmblood),056002W00324237,,1616026.0,0,,False
145,2456988,TARZAN VAN 'T ELSHOUT,TARZAN VAN T ELSHOUT,TARZAN VAN HET ELSHOUT,,,,4.0,MUGANO VAN KLAPSCHEUT,1494126.0,WAPITI VAN T ARKELHOF,512346.0,AHORN Z,1690.0,2019,BWP (Belgium Warmblood),056002W00324308,,1616022.0,0,,False
146,2456937,ONE KISS V/D HEERNIS,ONE KISS VAN DE HEERNIS,ONE KISS VD HEERNIS,,,VB,1.0,W-HORSELAND INVERNESS,1575650.0,ADMIRE V/D HEERNIS,1963694.0,SON DE NIRO,3253.0,2019,KWPN (Royal Dutch Sporthorse),528003201908324,,1615934.0,2,,False
147,2456920,ARUBA,,,,,,8.0,HORALAS,313671.0,AURELIA,1833200.0,PHLOX,583372.0,2019,Trakehner,,,1615916.0,2,,False
148,2456915,TORBELLINO INCOGNITO,,,,,,4.0,INCOGNITO,1794987.0,ZAINA AL DHEEN,2456913.0,MADHEEN EL SHAH DE OX,2457220.0,2019,BWP (Belgium Warmblood),056002W00323481,,1615905.0,1,,False
149,2456885,JAGGER DE PEGASE,,,,,,10.0,FLIPPER D'ELLE,13718.0,PHALLONE DES PINS,2456884.0,CHENU DU PLESSIS,135149.0,2019,Selle Francais,25000119378116E,,1615849.0,0,,False
150,2456859,COLORADO,,,,,,20.0,H&M CRUSADER ICE,1729912.0,MY NEW WATCH,2456857.0,NEW BALANCE,170745.0,2019,Swedish Warmblood,752004041903310,,1615822.0,1,,False
151,2456836,TWIX,,,,,,13.0,TESLA,1956263.0,EAZILETTE TH,452634.0,ZIZI TOP,99943.0,2019,Westfälisches Pferdestammbuch e.V.,276441410183719,,1615788.0,2,,False
